ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(0, 0, 0)",4602.755052048283,3714.0104052506413,4644.3979769907455,4575.0785047887675,3612.4168298297554,3565.716853888248,3648.1636292658804,4585.217291376442,4679.75181680258,3618.2142774123618,4612.13733049672,4665.235024973112,4580.147898082605
"(0, 0, 1)",3734.0080222622855,3652.359369948427,3794.7925741205945,3719.446016372527,3559.9019609592033,3477.6338483932886,3566.4450187798802,3710.028068118825,3807.780406611564,3558.8553036330277,3733.377767878199,3775.245125523077,3714.737042245676
"(0, 0, 2)",3710.578193097711,3641.3227512672756,3778.8542918064218,3700.304600322414,3555.195827659759,3464.0808681608146,3556.0817239285443,3686.906901110225,3783.7966524692556,3549.962506749538,3729.291957382905,3764.1226897758015,3693.6057507163196
"(0, 0, 3)",3691.8727548252145,3638.887406098971,3772.647658023048,3693.445237775516,3554.208614381162,3454.897599230687,3542.69329933067,3676.2366435980043,3769.3625702770278,3547.853197479777,3731.0653597709643,3748.2367289513136,3684.0546992116097
"(0, 0, 4)",3700.081756902541,3640.1564547380435,3758.9658266079505,3685.7186886902355,3536.2240787546225,3451.8988780081645,3542.696586265618,3687.5872868363285,3740.3378079987115,3536.355827535446,3669.715681045386,3709.5235671205974,3677.717184867811
"(0, 1, 0)",3698.3531780256462,3648.622284343558,3761.084171486833,3679.682722859986,3565.593561607914,3451.957278756945,3540.418007221657,3680.7705692945456,3746.284928731211,3554.0162885371346,3675.8264658602484,3718.1650976975598,3677.754594360117
"(0, 1, 1)",3695.2696014831554,3645.3940781096535,3761.0301713581775,3681.1684632443225,3541.7874125433996,3450.6781061811243,3536.5543965301495,3672.030491525094,3747.803444587955,3533.6713155718326,3676.6214737074024,3719.4143978902684,3674.3259826162484
"(0, 1, 2)",3695.7278630911997,3628.4290104489028,3748.353217470207,3673.7768400421696,3527.9052457921616,3439.31581810231,3534.2447615636493,3672.3752625572374,3742.1996575769685,3517.3278059749587,3669.000084501863,3712.1724962033513,3670.68767352955
"(0, 1, 3)",3684.805522307776,3619.570664484093,3750.738812481967,3676.0204885181133,3529.12509090557,3433.916406377003,3536.213983758569,3660.5955164929683,3743.828872971887,3519.2945628899342,3664.990525344,3713.5118741288843,3662.793020918484
"(0, 1, 4)",3667.217825842844,3617.8702158270944,3748.75833967622,3671.4514841605423,3528.950846186992,3430.4003616553864,3525.736788359098,3645.1700084941713,3745.6123685080092,3518.8095356191325,3658.361690122834,3714.8848885722527,3651.7658493085028
"(0, 2, 0)",3772.6365169352575,3775.634287896417,3876.7794423270425,3790.777504146356,3707.3696429923393,3574.2465415089246,3670.141426078483,3741.801458628627,3841.856734053066,3693.447660593786,3790.368165643895,3812.1563587754354,3774.1354024158372
"(0, 2, 1)",3685.1562570699743,3638.5221255047363,3747.2948940296856,3666.7879106499886,3554.5432094580383,3440.271101714967,3527.8549362774093,3667.462851507068,3732.480552372872,3542.4551588959466,3662.316221808019,3704.548446082013,3664.5520662290037
"(0, 2, 2)",3681.664663310604,3637.067126339887,3747.3612815229317,3672.36629754588,3534.04842210722,3439.284170868694,3524.1614208191327,3658.4531727315816,3733.9220279253045,3524.4868654601905,3663.11722638787,3716.153341675844,3660.7851995597257
"(0, 2, 3)",3682.232298961402,3619.993933893809,3735.1955763700034,3661.175671216921,3519.822626391582,3428.9366645985738,3522.186343754677,3658.8104718380464,3728.538246020956,3507.218014754943,3655.7829990664145,3698.7009849982132,3657.2967354522307
"(0, 2, 4)",3685.983080739711,3611.021306499956,3754.5731228607638,3677.2902483258763,3518.6197877566465,3421.1483343739246,3524.173075819112,3665.221470360285,3729.3272293419923,3505.2643262197134,3650.064831693018,3723.477890817254,3657.643151026651
"(0, 3, 0)",3930.36084903582,3948.661367759749,4039.2408407275916,3954.354990622092,3881.288733099036,3743.541679241696,3845.8932446615217,3891.967602123686,4002.419039414504,3867.259599878391,3954.291183228871,3971.756139542621,3939.5111083977845
"(0, 3, 1)",3759.1092000781246,3762.019571181845,3863.451515377634,3776.600015938498,3693.5767499546723,3560.9994864393025,3656.6284349027587,3727.8283118557756,3827.2469109842878,3680.0405882682794,3776.3846680929664,3797.905655083559,3760.564385629985
"(0, 3, 2)",3675.7228172241703,3628.01046319533,3739.674995080841,3659.3306567784475,3547.163163155001,3434.1618186443397,3521.4236824952113,3660.072202736894,3723.3009192835175,3533.1932712505004,3653.516942748988,3695.524020491506,3656.423799763718
"(0, 3, 3)",3672.1953675099276,3626.521313786171,3739.775738739366,3659.3172701732974,3527.346069042358,3431.527439586929,3518.023650448954,3651.00641427532,3726.266062978756,3521.98255613322,3655.8039256829616,3696.4980610902303,3653.4051699791407
"(0, 3, 4)",3707.596282327196,3619.660818786357,3811.1412299137855,3654.568399433314,3515.2844655124036,3433.49129811114,3516.5391179872395,3693.141869730238,3719.8566383415873,3510.507605953542,3648.580611920751,3690.2740686603715,3651.5745056770324
"(0, 4, 0)",4111.442077422159,4137.154212427957,4219.000431332458,4134.182392448974,4068.39680617645,3928.647716985026,4035.0519587938634,4068.7537387596403,4180.327261259246,4055.3684870331317,4132.517952960945,4148.559462993651,4121.9800151915515
"(0, 4, 1)",3915.0154862604973,3935.2887555629195,4027.0279694445335,3940.7894358313106,3866.605155504356,3729.742585968078,3831.57485653365,3876.9513410222125,3987.869886983383,3853.464631707304,3940.225858583675,3956.0771704736894,3925.152120911708
"(0, 4, 2)",3749.916205576836,3753.3762447339823,3852.8590273925565,3768.5545219461774,3685.591275084269,3553.7593694222023,3648.585138446107,3719.406226143888,3818.3603015505187,3671.6290634277784,3767.4359599224,3788.976703245989,3751.6462251554094
"(0, 4, 3)",3696.0921584612397,3624.475208462697,3806.5623698960217,3733.8873626852173,3540.876237321343,3428.486034481089,3518.35801029306,3653.9232353181656,3883.8610870106145,3529.3325591953253,3648.7371917330865,3876.210964026308,3651.3302135256263
"(0, 4, 4)",3670.852640002969,3751.979567800613,3830.995409100865,3772.2844026312823,3563.166820204169,3432.50837245383,3600.2281108746492,3655.48897721581,3894.833973390276,3632.6467026240944,3786.661841991005,3823.0263571122528,3711.416103901791
"(1, 0, 0)",3699.781380723407,3635.806614404657,3759.3138085539904,3679.639547544095,3547.3465319334055,3447.0997270754888,3533.6609312314804,3681.5878209632965,3751.177876445947,3538.925359132877,3683.386461721235,3725.268062696762,3680.6136842536957
"(1, 0, 1)",3686.787773364327,3636.7299510183448,3759.4393153090286,3678.9964438011243,3549.3073536238408,3448.2673537388096,3535.696862755166,3660.5872095479717,3746.8844391983293,3540.7369889142874,3684.635091360785,3720.3997998098203,3669.7918266745482
"(1, 0, 2)",3688.546562953108,3638.662457080904,3757.89006557583,3679.343914551514,3546.2327386458182,3448.8214480294446,3537.6409439487306,3662.733259799754,3746.991698735921,3536.681218526477,3681.522076483633,3719.3132117526434,3671.038587175634
"(1, 0, 3)",3683.4121590610466,3640.9600561814204,3759.842742623002,3680.372237286643,3548.021778773457,3450.374588152635,3537.82593535286,3661.7033145333116,3746.3279662321484,3538.6360796442013,3675.9401907727706,3718.00578160547,3668.821752653041
"(1, 0, 4)",3680.6180760152993,3641.9348874052002,3758.6355572553202,3679.0838129182966,3537.494484456918,3450.2098495440705,3538.975299465988,3660.476792335103,3716.690083487061,3533.8149641961536,3652.5088022676455,3683.4024150904343,3656.492797301374
"(1, 1, 0)",3696.1470716132562,3647.3580574105954,3762.165547638526,3681.375541784154,3557.8802445179326,3452.1243263287897,3538.2671452376,3674.4106306898384,3747.947684964839,3547.580441165969,3677.140814075826,3719.668117101952,3675.775722382832
"(1, 1, 1)",3695.69764982255,3616.368751969786,3741.859225399925,3661.8766967877127,3525.793155230297,3426.98336559574,3517.768722849968,3672.504444272034,3744.9084630525294,3514.9276066545754,3665.811303047655,3717.8056328005523,3663.843999917684
"(1, 1, 2)",3669.633164367147,3616.9796665575104,3750.3028179362914,3675.741717441766,3526.85603944407,3428.5602273444592,3536.2347966780476,3645.9626855205906,3730.166538781891,3516.2407900729127,3668.2391491298513,3712.965361156387,3657.100917325221
"(1, 1, 3)",3671.818196875124,3612.2843847636245,3743.236824447964,3678.012231185515,3520.505732041949,3429.6355032658357,3523.5220824817293,3644.7649406937862,3745.82871847789,3514.686204648513,3660.7641995925537,3715.4819227064177,3652.76457014317
"(1, 1, 4)",3666.6726002785254,3619.3492168219937,3735.581784541356,3677.278541462474,3515.3420052705787,3430.798761114386,3523.2639553019426,3644.387395593745,3728.606385977655,3519.1490596489557,3643.18305597965,3695.1813646982646,3643.7852257866975
"(1, 2, 0)",3749.0443720386684,3730.1470843901698,3846.4332165490723,3759.6806826335296,3660.2880586812607,3536.285835617372,3619.1261612072303,3726.107524689765,3814.290594343138,3646.4886936148737,3758.624066147446,3786.0362491596725,3739.595728214419
"(1, 2, 1)",3682.545887919021,3644.221385892466,3748.417925973184,3668.561553384763,3548.0892823875606,3440.598172015433,3525.8021477526295,3660.869334210848,3734.1133739229645,3536.8024743713136,3672.04515598939,3706.0101773692254,3664.7154437978056
"(1, 2, 2)",3682.1171954190877,3607.8096701240843,3752.947059745045,3666.634433406145,3555.555817979356,3443.497432395743,3531.8263422484715,3658.933265866516,3730.9899162802903,3543.116425580073,3662.17117076137,3710.0164471502953,3660.552218313943
"(1, 2, 3)",3672.3049524181242,3617.1658451255353,3747.7921016097284,3667.1529785415887,3517.757484887148,3415.487285737662,3527.3552546705746,3662.758970965491,3741.060484804012,3506.5165362564103,3674.2448827938215,3706.023659392038,3664.9559747535395
"(1, 2, 4)",3687.199485693518,3608.6675765843975,3728.948149365344,3654.4703640399493,3509.917743871777,3419.1847707338475,3525.9457832042817,3664.8743582102297,3716.1747213222766,3506.869858183358,3671.524435862475,3688.1100460985535,3659.6723611250895
"(1, 3, 0)",3860.286175503965,3854.6479962561934,3970.7548400807245,3885.2642199543725,3793.8023864257725,3665.123015515875,3751.7361084011845,3833.213657387784,3939.7208453968706,3776.797866252411,3891.4005567104496,3912.171358780871,3857.467085880079
"(1, 3, 1)",3734.939814628384,3714.9276953228177,3831.7855739146075,3745.3915357982723,3655.274705880439,3523.2917263786035,3605.8022422013464,3712.12219031979,3799.842915115567,3632.587687844697,3761.592697270238,3771.7324358099368,3724.933754975601
"(1, 3, 2)",3673.0557427039225,3627.6153521248016,3738.9607864556283,3659.435358932621,3540.403562790965,3432.6116212317725,3519.5315680866875,3679.616881089306,3724.8175164562576,3527.681240200567,3654.9870759377427,3800.868531002143,3657.211217435182
"(1, 3, 3)",3685.1031129985095,3631.901358875358,2813.529731299791,3657.4479926026643,3551.374744837039,3438.186774017301,3531.3339240189653,3664.0136416621776,3727.927051542183,3537.216430246928,3658.900399471713,3695.2531694190884,3644.674675739011
"(1, 3, 4)",3676.5711173431378,3629.1247815704955,3775.3791191556093,3663.3794596794814,3575.1204964510007,3437.737635250337,1983.8130835804932,3652.619626105528,3786.5328571381024,3521.481608902699,3657.9326664005757,3761.674801643687,3655.2761462530516
"(1, 4, 0)",4005.0745599407564,4002.9238666467922,4115.652995736662,4031.5021134457793,3945.275768755898,3815.754680813575,3907.05309521018,3972.9539920643883,4089.2832118638053,3925.8414055716516,4041.490579367898,4062.1432438571446,4003.999213293774
"(1, 4, 1)",3845.245346528744,3844.9842881621894,3968.7147595609276,3870.0338218481184,3778.880731169031,3651.0080002071923,3737.2399968748655,3832.252455158005,3924.2049642489364,3761.7572635951774,3876.1675149578596,3921.658539367064,3845.1148173454667
"(1, 4, 2)",3727.024983661857,3705.930238943119,3820.4615575193566,3763.008989311502,3639.3915920407017,3513.9435817881877,3595.7998973870635,3704.2847609672344,3791.52123575639,3622.488186953508,3733.6759687673384,3760.861946979293,3716.477611302488
"(1, 4, 3)",3681.511158010569,3743.9623073064877,3736.9340199384224,3692.819049962586,3554.0881965540502,3559.441626364487,3604.924512915723,3654.4529256312962,3724.85066835995,3527.3476886968974,3660.0795412950965,3789.821866998135,3670.7953496528326
"(1, 4, 4)",3733.131185616323,2081.2159104214716,3741.2809345930227,3661.257276747579,3564.01175518989,3437.428224283503,3633.4609587622062,3661.749493780594,3880.9581803976444,3536.482716431976,3656.1978658295893,3698.6640691148255,3658.727571288584
"(2, 0, 0)",3683.01274268393,3636.6443617550785,3760.1956453959488,3679.7568530349104,3549.335205385695,3448.485622031944,3535.667200420671,3655.0640106130622,3748.209466676736,3540.841063675338,3684.94699017537,3722.2078703157104,3667.410431823986
"(2, 0, 1)",3676.3843270316574,3636.2570071638784,3759.335288998042,3678.94798032119,3551.197544585855,3449.172198864896,3537.127008102728,3647.7704145836838,3745.7740882367816,3542.9086852790592,3680.9923242937325,3717.911541338403,3662.0773708076704
"(2, 0, 2)",3678.061103626745,3640.810535813379,3759.681533631363,3680.827140166819,3548.131076848284,3450.561746226723,3538.7285088248173,3648.9187791010813,3744.0275126125644,3538.9164266451626,3680.6436860382655,3715.167442385624,3663.489941363913
"(2, 0, 3)",3668.571517861459,3617.8981975205907,3754.574927840171,3665.9198872445836,3543.7492429237027,3446.5188926421542,3520.4572890125655,3638.8139234159435,3725.8841662410105,3534.312888528742,3656.711032282628,3700.954506141326,3647.7624778492855
"(2, 0, 4)",3671.245879227744,3616.1770122410526,3741.492505685108,3676.3066036010446,3524.314792676073,3446.5121559701674,3520.274811181128,3642.259051270223,3718.6645446690154,3525.140360980169,3648.663875081635,3685.1139742197547,3645.461463175929
"(2, 1, 0)",3696.3637575880457,3643.535708453921,3750.106446124232,3674.187509233926,3541.244621814467,3444.8839328875974,3535.627740248154,3672.856966193147,3744.921455696667,3533.5737593697077,3668.0393373878833,3716.240240754821,3670.448151790515
"(2, 1, 1)",3665.561329662305,3616.726696881974,3750.5285590376934,3676.197456284682,3527.0265433083723,3428.8637057736664,3521.2493243229574,3638.555510726168,3742.589043259751,3516.124790054885,3666.203135224878,3711.9051575484887,3652.0584201942365
"(2, 1, 2)",3656.1520252831306,3616.4312378122427,3742.6955390473495,3661.4785049273805,3527.189046982318,3429.8842433988557,3522.313287186218,3629.8951328921576,3728.962731179773,3516.13822724068,3648.901818833034,3706.602443518852,3639.3984758625957
"(2, 1, 3)",3674.3134665197067,3612.1366823514263,3750.101162928807,3669.610982497239,3507.945268476371,3430.062104977953,3526.8631249755667,3645.3081923812283,3747.033048689741,3508.4291418973917,3658.5884299519716,3697.766061597653,3651.9483111666
"(2, 1, 4)",3655.1511112535454,3607.293015410758,3738.733692962278,3670.708436100536,3513.0647089979793,3419.4415245648197,3521.5852347722603,3633.2844166827635,3725.576289849385,3505.7158298463623,3642.5342060672174,3679.934125105776,3637.9093113749905
"(2, 2, 0)",3730.473050907791,3705.5490042655374,3809.333958632957,3719.065980768535,3620.67874703124,3500.861765276035,3584.354258671992,3707.1303363888314,3772.3747722588087,3613.367815794282,3702.730278672131,3740.766721630298,3706.3396703271846
