ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(2, 2, 1)",3682.8772079526816,3634.578613224159,3736.652583688081,3668.806826473325,3544.6435337362436,3433.561004336646,3523.344513432677,3666.927361627261,3737.087772731439,3523.121718431398,3660.0807512788206,3702.7769810907125,3663.504056453041
"(2, 2, 2)",3655.0145781778374,3613.7186789609023,3740.661951464305,3667.0160804407005,3519.3822616212806,3415.8884483184256,3511.2399183021935,3628.6405972054936,3735.1328163643334,3507.0314662831306,3656.8325896778374,3704.8726446998626,3641.8275876916655
"(2, 2, 3)",3670.277686947785,3642.380295792909,3739.5409606765616,3660.112865329411,3531.197730212914,3437.027677666626,3528.3087523523245,3652.5813647626474,3710.389966576685,3510.384758118469,3647.729611821327,3669.147664174267,3650.1554882919872
"(2, 2, 4)",3668.771147374193,3615.1253194553947,3728.397548431419,3662.1065211603286,3511.776165633254,3422.990105054316,3526.246046603621,3652.0212297646917,3711.76365634143,3496.358064103435,3644.198923511004,3674.271145900211,3648.1100766378477
"(2, 3, 0)",3804.7711278964252,3804.46592523495,3911.4265528843816,3819.8205373195065,3731.9171846540357,3601.6743563297246,3682.65171902406,3782.4111984658384,3859.299435578333,3722.998871178336,3806.7901940323954,3826.6567171610977,3804.6185265656877
"(2, 3, 1)",3716.7316221587735,3691.413715350875,3795.21597303822,3705.4416485616184,3607.4124309300437,3488.483834479471,3571.5313712190646,3693.5108737113205,3780.69105105861,3600.2004466365943,3689.265906393187,3727.0554117437796,3692.4622945310975
"(2, 3, 2)",3694.3366140792623,3635.161842456914,3741.760232628555,3654.7740066039614,3525.9952679059716,3428.0503938560314,3524.014779027465,3650.836446613399,3735.236467193758,3528.235301692409,3650.468501022167,3695.439118260207,3650.652473817783
"(2, 3, 3)",3678.690960827184,3663.6847145802667,3768.3540742661444,3689.1265383579257,3569.220890714742,3467.454851537541,3551.6676683545097,3687.3740116488366,3787.590461077655,3565.73367654138,3732.497892905971,3751.2275897009604,3683.0324862380103
"(2, 3, 4)",3684.9334247265047,3662.508287565324,3757.9111622401306,3681.0484722813253,3573.10715939501,3458.098245044118,3542.1974501784916,3667.0864627347896,3733.3481153701186,3569.719784083877,3675.673084166451,3699.5477132921606,3671.3797734506206
"(2, 4, 0)",3915.442749216795,3926.1725095245215,4028.3453300828655,3941.8233445824453,3860.6908126007625,3725.1900893641423,3804.2606003808582,3892.678893835776,3973.785721202569,3848.3600621617998,3925.856981352199,3939.9901250270195,3920.649865284497
"(2, 4, 1)",3813.886530735678,3810.596300172817,3896.3198279752114,3805.456887766287,3737.9352956137845,3588.482177019314,3668.842007552436,3793.899636495718,3873.9431796887075,3729.930453688253,3823.380254041702,3842.602585601072,3808.026593969552
"(2, 4, 2)",3724.3131049410067,3702.271619896359,3784.787427689045,3696.0942178597115,3602.182518096238,3480.2376041773337,3564.8786396697687,3683.8990245292,3748.8373141281636,3613.137265612881,3682.559809557546,3719.68369487585,3689.9966211944557
"(2, 4, 3)",3741.4087771181908,3710.318689883757,3827.12233148998,3740.6490192281644,3673.7894328643433,3519.4781042995546,3600.7293489800404,3708.163665810195,3813.488376998508,3631.1245417370787,3750.5654438588963,3786.3645983712786,3725.4838545559605
"(2, 4, 4)",3764.8262081062558,3774.1017728468855,3862.086372717232,3741.291625621022,3701.356959585,3514.4098133359284,3593.5548070255118,3744.815258020922,3814.2632607871747,3692.139223637096,3762.3478021395676,3782.354653995401,3753.581530080245
"(3, 0, 0)",3682.58909553373,3638.6531560542116,3757.8114097883185,3679.97242159905,3546.3726146663953,3448.9609053654794,3537.5202359301393,3655.353554201845,3749.873112348407,3538.2353110085064,3682.630243164689,3723.6086753689815,3667.6629879004477
"(3, 0, 1)",3678.3727529552116,3640.6617593804003,3759.623749681741,3680.5396517013087,3547.085623834576,3450.3509682621902,3538.416288402106,3649.590925320214,3747.605014594474,3537.5863948408078,3679.1282987903996,3719.5184369278477,3663.981839137713
"(3, 0, 2)",3678.8444055279842,3636.805242739123,3761.474874031651,3671.0640729597535,3532.8011663002935,3430.230327935352,3533.0807585883767,3648.5264013869432,3716.7798120735197,3521.7964359199805,3652.120837212544,3676.95651796001,3650.3236192997438
"(3, 0, 3)",3670.528494415905,3641.6818887291074,3744.716283490535,3671.714601639404,3522.967212741277,3428.724364073954,3519.3305458444283,3637.6767955010946,3723.212215566344,3520.265579327175,3658.5893386336365,3697.741566200122,3650.135613681372
"(3, 0, 4)",3672.3133297578097,3606.651609184979,3740.333899868389,3676.563481601287,3517.2484098796776,3441.1599335080464,3522.56319441735,3641.7149635863907,3706.00072386274,3518.986893771415,3648.9488689339196,3676.9822885844465,3645.331916260155
"(3, 1, 0)",3698.3258211262764,3642.0305236213608,3750.8868287306086,3676.1936160271425,3536.8703743718966,3446.3435789731184,3537.569260308659,3674.8285846455783,3744.7462131655675,3526.813196671327,3667.8360059039496,3714.9894580454684,3671.332295274764
"(3, 1, 1)",3700.364455179738,3618.516459492762,3752.504782533408,3678.0086838625684,3526.6792235487464,3430.391956272928,3521.5440637199267,3676.302558559345,3743.9022649316285,3516.787974186048,3668.190564690446,3712.728761171593,3672.2465616248955
"(3, 1, 2)",3669.935504343385,3615.889423726523,3754.1879812528996,3664.1959457184425,3528.514898760627,3430.4692276170663,3523.561224558586,3642.876268887073,3730.735085884559,3517.220566734282,3670.1513009929654,3701.844769431432,3653.536107302758
"(3, 1, 3)",3656.7338745556226,3604.749845067815,3744.389123358106,3653.803351443584,3505.5566711110687,3409.043931353599,3518.4476513006593,3629.572626270102,3703.3571623087,3512.786679578353,3660.4507203409094,3666.6705684698477,3641.687988856843
"(3, 1, 4)",3647.87677135464,3606.1177143878303,3747.4928812732987,3661.791820051839,3514.0637116063435,3419.0351329017703,3517.70118548919,3627.9750631668744,3716.722270349339,3506.294796299252,3643.6091896883945,3680.9322405502758,3635.7921264276347
"(3, 2, 0)",3730.091748948271,3690.6929534318433,3795.1012267845954,3708.1414859335355,3598.875537815151,3490.2342552271693,3576.358886054442,3705.8827058452853,3770.935992916641,3589.6678632382527,3692.532933122817,3740.193594226858,3699.2078194840515
"(3, 2, 1)",3691.8221801704503,3641.613961739785,3748.5651507100506,3670.782841168636,3542.934004898415,3435.1000392915707,3525.307911222456,3661.4707691736185,3737.1833216714394,3532.705141082605,3660.1740209459567,3707.2837307625596,3660.8223950597876
"(3, 2, 2)",3692.4194117604084,3615.5963789152615,3742.496120685711,3667.145391939047,3528.598876954473,3438.5297358913954,3527.3441336241176,3670.049828571986,3736.4342268787964,3519.9652705418257,3658.802378974599,3705.798345695167,3662.973885456823
"(3, 2, 3)",3670.973341739181,3630.7386121659056,3730.6869483142245,3661.291292788311,3526.448424254732,3429.457952572724,3530.0028628076466,3651.6063329044264,3711.382263706696,3523.7102687041097,3643.223239452527,3673.76842985495,3647.414786178477
"(3, 2, 4)",3666.378963534834,3633.4487849410802,3725.234403740921,3673.848972354757,3509.6920707427535,3440.6273372571995,3516.353953644936,3647.8762291408693,3709.5786477095,3509.174858427288,3642.584271961222,3675.8647325830907,3645.2302505510456
"(3, 3, 0)",3791.4365008275236,3776.550781371739,3890.874974681624,3795.402595028814,3696.6155004561533,3577.192585837284,3663.153679064124,3766.959838554351,3847.6899814037843,3689.3816638616368,3789.0667093890415,3817.194376696658,3782.80874538039
"(3, 3, 1)",3732.4884494324883,3700.9121558553625,3812.956664597913,3694.793835963431,3586.0102084081136,3478.1480316862558,3563.790850974824,3709.6418492650732,3780.8571145847727,3576.9166798840442,3711.796385949646,3750.1465558841064,3705.2770025602176
"(3, 3, 2)",3724.1236263220408,3680.2518902597076,3793.0788395052705,3668.666991628013,3595.3250619558494,3483.966876059204,3574.238379540001,3702.40668012523,3761.875128726892,3589.77983068656,3670.391250483741,3732.5751777896694,3675.321570371724
"(3, 3, 3)",3722.2254552960694,3693.8296643163467,3794.606316136131,3683.5471183902623,3605.2657906519757,3495.3954599379604,3551.4388011798883,3703.042692730909,3757.216870874691,3557.2886913500474,3702.519516066752,3725.085205985076,3698.174590191549
"(3, 3, 4)",3684.285487170755,3651.757376885558,3753.547318447556,3678.2213875793796,3516.882259744969,3449.093704279383,3543.2830344613985,3664.1254590410535,3735.0932285378703,3554.5063192348016,3674.8543910652106,3700.879201412605,3669.489925053132
"(3, 4, 0)",3886.8730309742455,3881.3919157368414,3998.8951696566683,3903.854507030508,3803.074979775336,3683.802551402923,3771.7337219497003,3865.716080027907,3949.9453526828165,3796.4231812911444,3901.482010362598,3920.4520145354745,3884.1324733555434
"(3, 4, 1)",3807.7547111288814,3796.4133278459553,3913.891220883603,3819.9431966036846,3720.1176872219676,3564.438622247216,3688.4376416868845,3786.949107669808,3869.2116156616116,3713.266298888685,3815.9449806828147,3838.9876718637506,3802.084019487418
"(3, 4, 2)",3725.0925747382944,3684.805408885114,3888.724495543101,3707.966359406033,3593.4295490231793,3575.5127962360634,3575.3266139244593,3766.8274660424277,3758.703407183365,3587.4839326833935,3736.841278975643,3812.0310620189,3716.5294670721637
"(3, 4, 3)",3752.1539150180797,3724.7649230728985,3895.1410087204404,3748.8570874014376,3627.980992707977,3525.512004411551,3610.472209181434,3737.559734850043,3849.1805359878663,3624.5808387709812,3800.0414243073383,3814.6345216207383,3743.20841112574
"(3, 4, 4)",3745.5157958566165,3722.5633228101115,3811.538119167331,3726.2229464158163,3612.7727208057913,3523.779665122135,3590.606351418175,3730.7849506151515,3795.288631865719,3612.1113251543393,3697.8361841247597,3766.86961166974,3724.393134612964
"(4, 0, 0)",3674.9917112293915,3640.2127537569495,3759.806292278775,3679.332974524294,3547.216484530426,3450.321719564613,3537.640205238633,3646.5264764211342,3741.3304175106105,3537.098580149155,3677.141892949022,3713.559756282275,3660.759093825263
"(4, 0, 1)",3675.3727119444998,3638.8914730604993,3761.5271513737807,3670.704276183069,3548.880020974648,3452.207431504006,3539.1684545804605,3644.816315660407,3742.6025557097605,3538.5839342610107,3678.9670542700796,3713.7350537558114,3657.760295921738
"(4, 0, 2)",3677.1780129146773,3627.1885480451256,3763.7158548087027,3667.514456001557,3546.3932361964225,3439.947814195044,3532.3178523910874,3636.9246471029865,3721.6054753301537,3521.0124137843,3657.389332924149,3675.7376913014523,3647.156990013568
"(4, 0, 3)",3667.753366409788,3643.9754867700676,3746.5733642215073,3669.400370143456,3524.8098432114252,3429.8774393621325,3529.9631149743336,3638.7215064299107,3713.520795506947,3522.1801550735354,3655.823666592424,3671.055739571336,3649.899576681246
"(4, 0, 4)",3660.026701463131,3608.6030337042494,3740.7847602358743,3667.0559274915086,3516.8739540466863,3442.9851234560742,3535.0502388621517,3633.103202978682,3713.575645266463,3520.850231145408,3638.1832696028273,3674.818115834203,3635.6432362907544
"(4, 1, 0)",3693.356388201984,3641.8845236174084,3750.85742484057,3677.6034211770075,3534.1210981302193,3445.735189954001,3537.0352688283606,3671.672438521691,3743.380728350977,3524.180245759245,3669.7584922115666,3713.0605479640526,3670.715465366629
"(4, 1, 1)",3660.621103958725,3620.004317754134,3751.513882461843,3679.2040771272514,3536.053693303831,3447.6791953816346,3538.181560702732,3636.533695915621,3743.6398738431863,3526.1818291722966,3669.8355834206395,3712.152531922391,3648.577399937173
"(4, 1, 2)",3653.9450335848405,3617.0652547153177,3731.468962343499,3681.6124462339285,3525.0375773366695,3428.959835064117,3526.257270884271,3625.0145425709047,3746.3620691468905,3517.43127481197,3672.053368862902,3697.2362981587185,3639.4797880778724
"(4, 1, 3)",3649.669160865843,3604.351395392113,3734.4948798671794,3649.977952950154,3503.1664897880555,3417.3841335641173,3517.62722786865,3636.929202608517,3706.1938669181563,3517.0235533133255,3652.520108722905,3664.3109905854326,3643.29918173718
"(4, 1, 4)",3650.330727017721,3608.490477988708,3723.249038397862,3662.177589035754,3515.4576433236107,3420.9094141282117,3518.9503157393483,3630.0060091779496,3704.6988292817487,3512.095493153897,3633.0182938433477,3669.9416617628776,3631.5121515106484
"(4, 2, 0)",3722.565758075135,3675.499909931701,3760.326596703305,3689.2029992493794,3577.7941237471105,3472.83003110462,3554.009532584322,3699.8506297279623,3748.650130576031,3565.1505827231013,3652.992531563539,3714.193110121695,3682.35145459054
"(4, 2, 1)",3686.3802707475734,3638.4344697559336,3740.2539541263313,3668.0872032784036,3534.865990926116,3440.8253665543725,3529.1210811564915,3665.5516468785554,3750.4509949298686,3523.6843510972976,3654.5930955888903,3716.2016426116347,3660.072371233723
"(4, 2, 2)",3698.3926838355214,3618.3671770538213,3739.343622530232,3667.5036673955537,3529.077331760752,3439.3157291609286,3555.1934501850656,3675.9959016582325,3724.777021321729,3518.9792537715684,3623.603209240495,3683.681203696917,3645.5534383180243
"(4, 2, 3)",3663.142877190776,3629.6220431809857,3726.112691554372,3654.7300247287067,3520.5784349653395,3426.3791165533867,3526.0463412370054,3646.043214312348,3703.2491778125504,3516.123805181761,3613.884257001635,3660.880734556274,3637.832628746667
"(4, 2, 4)",3662.3813045352263,3631.5612887077796,3726.685316198417,3654.7388196073025,3505.8629587054947,3422.2193591986215,3511.9258409835447,3644.9974937540146,3709.280164725026,3515.8356832388718,3616.7844549693928,3673.150779738604,3638.279391230897
"(4, 3, 0)",3765.9107759308718,3752.492937142086,3846.189795445181,3760.543598182385,3677.2939057328213,3548.69308463301,3623.7328719161724,3735.7386892957593,3806.0293230332773,3666.668256458498,3724.5992793951345,3766.352990296244,3744.1158132189225
"(4, 3, 1)",3719.2325535964146,3683.02634553411,3773.66873890015,3697.8401793377607,3599.0257501422784,3461.280592223725,3562.5739327177357,3695.831668584294,3751.7300732824597,3587.365373406473,3662.058193988046,3715.4170231784287,3689.4290070592024
"(4, 3, 2)",3690.6705245728067,3633.2360780219387,3748.767854290976,3670.1076839368534,3530.7962469628446,3442.279124877054,3531.5296549864497,3699.638698768522,3738.7573773440463,3579.591520513617,3642.1969102741405,3704.4265097680627,3656.152297105497
"(4, 3, 3)",3696.3754307563268,3654.062520180798,3752.586587517356,3682.1731592227757,3557.1282051411654,3476.0775809597762,3551.251354309232,3673.8937170558806,3730.6439562938635,3553.5677297854354,3632.7444745195808,3687.876130172551,3663.978118618339
"(4, 3, 4)",3672.9374338030802,3647.1345800195054,3745.667812399449,3666.193582190328,3549.466762449149,3448.728660240223,3521.506283978922,3668.1641708741095,3727.3331560550455,3548.886050295856,3628.7098820522524,3686.691740492055,3656.6640811049165
"(4, 4, 0)",3856.0571869750493,3864.579846240214,3965.922320938519,3873.0660478991913,3791.1177839948687,3660.9568490729694,3737.176752654671,3823.317794769978,3919.3501560842665,3781.9114099862863,3856.497608364556,3881.915496952378,3856.2773976698027
"(4, 4, 1)",3780.2068220345063,3777.1045931646377,3875.8273559455765,3788.5091631001183,3705.685268710681,3576.7942691480075,3610.7976800546076,3751.2147492714475,3834.1581228238456,3695.693799892848,3711.0188654820204,3795.8178264630537,3764.1596712180426
"(4, 4, 2)",3721.506684314243,3763.22372627929,3775.30220086385,3781.3521139334266,3582.1943650706053,3566.069798294131,3562.4206105108724,3699.3144653139557,3744.279874054141,3574.6894370235727,3645.091860166424,3735.5929556684778,3710.410574814099
"(4, 4, 4)",3721.995772220017,3720.5452918209394,3811.998872872788,3731.0464033432418,3628.06320855818,3518.593252222867,3580.925152995673,3702.1485884612957,3777.249972356024,3629.488882307012,3696.902414944472,3740.1662893174107,3711.3469401411176
